shared_label,match_radius_m
Alternative Medicine,50
Arcade,50
Arts Venue,100
Assisted Living,100
Bakery,50
Bank,50
Bar,50
Bike shop,50
Bookstore,50
Bowling Alley,50
Cafe,50
Car Dealer,200
Car Rental,200
Car Repair,200
Car Wash,50
Casino,100
Cell Phone Store,50
Charging Station,50
Clinic,100
Clothing Store,50
Community Center,100
Convenience Store,50
Counseling,50
Dentist,50
Dessert Shop,50
Discount Store,50
Dog Park,200
Dry Cleaning,50
Event Venue,50
Eye Care,50
Fast Food,50
Fitness Center,50
Florist,50
Furniture Store,100
Garden Store,100
Gas Station,50
Golf Course,200
Hardware,100
Jewelry Store,50
Kindergarten,100
Laundromat,50
Library,100
Liquor Store,50
Marina,200
Market,50
Massage Therapy,50
Maternity Center,50
Mental Health,50
Movie Theater,100
Museum,100
Nightclub,50
Occupational Therapy,50
Other Amenity,50
Other Healthcare,50
Other Shop,50
Park,200
Performing Arts,100
Pet Store,50
Pharmacy,50
Physical Therapy,50
Playground,100
Post Office,50
Recreation,100
Restaurant,50
Salon and Hair,50
School,100
Shoe Store,50
Shopping Center,200
Social Club,50
Specialty Store,50
Speech Therapist,50
Sports Outlet,100
Stadium,200
Supermarket,100
Swimming Pool,100
Thrift Store,50
Tire Store,50
University,200
Veterinarian,50
Wholesale Store,100
