overture_l0,overture_l1,overture_l2,overture_l3,shared_label
arts_and_entertainment,performing_arts_venue,,,Performing Arts
arts_and_entertainment,arts_and_crafts_space,,,Arts Venue
arts_and_entertainment,museum,,,Museum
arts_and_entertainment,event_venue,,,Event Venue
arts_and_entertainment,,arcade,,Arcade
arts_and_entertainment,,casino,,Casino
arts_and_entertainment,gaming_venue,,,Recreation
arts_and_entertainment,stadium_arena,,,Stadium
arts_and_entertainment,amusement_attraction,,,Recreation
arts_and_entertainment,nightlife_venue,,,Nightclub
arts_and_entertainment,movie_theater,,,Movie Theater
arts_and_entertainment,social_club,,,Social Club
arts_and_entertainment,festival_venue,,,Recreation
arts_and_entertainment,spiritual_advising,,,Other Amenity
arts_and_entertainment,animal_attraction,,,Recreation
arts_and_entertainment,rural_attraction,,,Recreation
arts_and_entertainment,science_attraction,,,Recreation
arts_and_entertainment,ticket_office_or_booth,,,Other Amenity
arts_and_entertainment,,,,Other Amenity
community_and_government,,housing_authority,,Government Office
community_and_government,social_or_community_service,,,Community Center
community_and_government,government_office,,,Government Office
community_and_government,public_safety_service,,,Public Safety
community_and_government,civic_organization,,,Community Center
community_and_government,,public_restroom,,Public Restroom
community_and_government,,public_plaza,,Park
community_and_government,public_facility,,,Other Amenity
community_and_government,,,,Community Center
cultural_and_historic,religious_organization,,,Place of Worship
cultural_and_historic,place_of_worship,,,Place of Worship
cultural_and_historic,historic_site,,,Historic Site
cultural_and_historic,,cemetery,,Cemetery
cultural_and_historic,,monument,,Historic Site
cultural_and_historic,memorial_site,,,Historic Site
cultural_and_historic,cultural_center,,,Community Center
cultural_and_historic,,,,Other Amenity
education,,,preschool,Kindergarten
education,,college_university,,University
education,,campus_building,,University
education,place_of_learning,,,School
education,library,,,Library
education,educational_service,,,School
education,educational_facility,,,School
education,research_institute,,,Other Professional
education,education_office,,,Government Office
education,,,,School
food_and_drink,restaurant,,,Restaurant
food_and_drink,,bakery,,Bakery
food_and_drink,,bagel_shop,,Bakery
food_and_drink,,cafe,,Cafe
food_and_drink,,coffee_shop,,Cafe
food_and_drink,,dessert_shop,,Dessert Shop
food_and_drink,,candy_store,,Dessert Shop
food_and_drink,,diner,,Restaurant
food_and_drink,,gastropub,,Bar
food_and_drink,,tapas_bar,,Restaurant
food_and_drink,casual_eatery,,,Fast Food
food_and_drink,alcoholic_beverage_venue,,,Bar
food_and_drink,non_alcoholic_beverage_venue,,,Cafe
food_and_drink,,,,Restaurant
geographic_entities,,marina,,Marina
geographic_entities,,garden,,Park
geographic_entities,,pier,,Recreation
geographic_entities,,bridge,,EXCLUDE
geographic_entities,built_feature,,,Other Amenity
geographic_entities,,,,Other Amenity
health_care,hospital,,,Hospital
health_care,,primary_care_or_general_clinic,,Clinic
health_care,,pediatric_clinic,,Clinic
health_care,,walk_in_clinic,,Clinic
health_care,,urgent_care_clinic,,Clinic
health_care,,emergency_department,,Hospital
health_care,,ambulance_or_ems_service,,Public Safety
health_care,emergency_or_urgent_care_facility,,,Clinic
health_care,,dental_clinic,,Dentist
health_care,,vision_or_eye_care_clinic,,Eye Care
health_care,,behavioral_or_mental_health_clinic,,Mental Health
health_care,,physical_medicine_and_rehabilitation,,Physical Therapy
health_care,,complementary_and_alternative_medicine,,Alternative Medicine
health_care,,,chiropractic,Other Healthcare
health_care,,specialized_health_care,,Other Healthcare
health_care,,diagnostics_imaging_or_lab_service,,Other Healthcare
