overture_l0,osm_key
arts_and_entertainment,amenity
arts_and_entertainment,tourism
arts_and_entertainment,leisure
food_and_drink,amenity
food_and_drink,shop
food_and_drink,craft
health_care,healthcare
health_care,shop
health_care,amenity
health_care,office
shopping,shop
shopping,amenity
shopping,healthcare
shopping,craft
sports_and_recreation,leisure
sports_and_recreation,amenity
sports_and_recreation,shop
sports_and_recreation,tourism
services_and_business,amenity
services_and_business,shop
services_and_business,office
services_and_business,craft
lifestyle_services,shop
lifestyle_services,amenity
lifestyle_services,craft
lifestyle_services,healthcare
lifestyle_services,leisure
community_and_government,amenity
community_and_government,office
community_and_government,leisure
cultural_and_historic,amenity
cultural_and_historic,historic
cultural_and_historic,landuse
cultural_and_historic,tourism
cultural_and_historic,office
education,amenity
education,office
travel_and_transportation,amenity
travel_and_transportation,shop
lodging,tourism
geographic_entities,leisure
