osm_label,overture_label,affinity,s_lin,s_emp,n_confirmed
ATM,ATM,1.0,1.0,0.4601,75
ATM,Bank,0.8445,0.5911,1.0,163
ATM,Other Financial,0.734,0.734,0.0123,2
ATM,Home Service,0.3852,0.3852,0.0,0
ATM,Real Estate,0.3632,0.3632,0.0,0
ATM,Other Professional,0.3392,0.3392,0.0,0
ATM,Legal Service,0.3216,0.3216,0.0,0
ATM,Self-Storage,0.2966,0.2966,0.0,0
ATM,Print and Copy Shop,0.2865,0.2865,0.0,0
ATM,Post Office,0.2765,0.2765,0.0,0
ATM,Laundromat,0.2756,0.2756,0.0,0
ATM,Childcare,0.2743,0.2743,0.0,0
ATM,Funeral Services,0.2671,0.2671,0.0,0
ATM,Dry Cleaning,0.2525,0.2525,0.0,0
ATM,Other Amenity,0.2385,0.2385,0.0,0
ATM,Other Shop,0.1898,0.1898,0.0,0
ATM,Car Repair,0.0001,0.0,0.0061,1
ATM,Gas Station,0.0001,0.0,0.0061,1
ATM,Specialty Store,0.0001,0.0,0.0061,1
Alternative Medicine,Alternative Medicine,1.0,1.0,0.2561,401
Alternative Medicine,Other Healthcare,0.9968,0.946,1.0,1566
Alternative Medicine,Clinic,0.7269,0.7269,0.014,22
Alternative Medicine,Dentist,0.5937,0.5937,0.0,0
Alternative Medicine,Mental Health,0.5628,0.5628,0.0077,12
Alternative Medicine,Eye Care,0.5223,0.5223,0.0,0
Alternative Medicine,Physical Therapy,0.5205,0.5205,0.0096,15
Alternative Medicine,Hospital,0.4749,0.4749,0.0013,2
Alternative Medicine,Counseling,0.4205,0.4205,0.0,0
Alternative Medicine,Occupational Therapy,0.4189,0.4189,0.0,0
Alternative Medicine,Speech Therapist,0.4186,0.4186,0.0,0
Alternative Medicine,Public Safety,0.4023,0.4023,0.0,0
Alternative Medicine,Cannabis Dispensary,0.398,0.398,0.0064,10
Alternative Medicine,Maternity Center,0.3877,0.3877,0.0,0
Alternative Medicine,Other Financial,0.3636,0.3636,0.0,0
Alternative Medicine,Massage Therapy,0.0527,0.0,0.09,141
Alternative Medicine,Fitness Center,0.0018,0.0,0.0115,18
Alternative Medicine,Specialty Store,0.0006,0.0,0.0064,10
Alternative Medicine,Hair and Beauty,0.0004,0.0,0.0051,8
Alternative Medicine,Florist,0.0002,0.0,0.0032,5
Alternative Medicine,Other Professional,0.0001,0.0,0.0019,3
Alternative Medicine,Clothing Store,0.0,0.0,0.0006,1
Alternative Medicine,Community Center,0.0,0.0,0.0013,2
Alternative Medicine,Home Service,0.0,0.0,0.0006,1
Alternative Medicine,Market,0.0,0.0,0.0006,1
Alternative Medicine,Other Amenity,0.0,0.0,0.0006,1
Alternative Medicine,Other Shop,0.0,0.0,0.0006,1
Alternative Medicine,Pharmacy,0.0,0.0,0.0006,1
Alternative Medicine,Recreation,0.0,0.0,0.0013,2
Alternative Medicine,Shopping Center,0.0,0.0,0.0006,1
Animal Shelter,Animal Shelter,1.0,1.0,1.0,329
Animal Shelter,Pet Store,0.7812,0.7812,0.0365,12
Animal Shelter,Veterinarian,0.7063,0.7063,0.0152,5
Animal Shelter,Recreation,0.5912,0.5912,0.0304,10
Animal Shelter,Hair and Beauty,0.5162,0.5162,0.0,0
Animal Shelter,Massage Therapy,0.4562,0.4562,0.0,0
Animal Shelter,Tattoo and Piercing,0.4036,0.4036,0.0,0
Animal Shelter,Other Healthcare,0.361,0.361,0.0,0
Animal Shelter,Other Professional,0.352,0.352,0.0,0
Animal Shelter,Other Amenity,0.3469,0.3469,0.0,0
